,Exam,Organisation,Qualification,Salary,Minage,Maxage,Allowance,ExamMode,Fee,Level,Ptest,Website,Fields,Attempts,Pattempts,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
138,Junior Research - Electronics engineering,IRDE,Degree,Rs 31000,NIL,28,NIL,NIL,NIL,Interview,NIL,www.mhrdnats.gov.in,NIL,NIL,NIL,,,,,,,
139,Junior Research - Computer Science,IRDE,Degree,Rs 31001,NIL,28,NIL,NIL,NIL,Interview,NIL,www.mhrdnats.gov.in,NIL,NIL,NIL,,,,,,,
140,Assistant Manager (P/Way),MMRDA,Degree ,Rs 56100 - 177500,NIL,45,NIL,NIL,NIL,basics of Qualification,NIL,mmrda.maharashtra.gov.in,NIL,NIL,NIL,,,,,,,
141,Station Manager,MMRDA,Degree ,Rs 9300 - 34800,NIL,41,NIL,NIL,NIL,basics of Qualification,NIL,mmrda.maharashtra.gov.in,NIL,NIL,NIL,,,,,,,
142,Chief Traffic Controller,MMRDA,Degree ,Rs 9300 - 34800,NIL,42,NIL,NIL,NIL,basics of Qualification,NIL,mmrda.maharashtra.gov.in,NIL,NIL,NIL,,,,,,,
143,Senior Section Engineer,MMRDA,Degree ,Rs 47600 - 151100,NIL,61,NIL,NIL,NIL,basics of Qualification,NIL,mmrda.maharashtra.gov.in,NIL,NIL,NIL,,,,,,,
144,Section Engineer,MMRDA,Degree ,Rs 41800 - 132300,NIL,61,NIL,NIL,NIL,basics of Qualification,NIL,mmrda.maharashtra.gov.in,NIL,NIL,NIL,,,,,,,
145,Senior Section Engineer (Civil),MMRDA,Degree ,Rs 41800 - 132300,NIL,61,NIL,NIL,NIL,basics of Qualification,NIL,mmrda.maharashtra.gov.in,NIL,NIL,NIL,,,,,,,
146,Section Engineer (Civil),MMRDA,Degree ,Rs 41800 - 132300,NIL,61,NIL,NIL,NIL,basics of Qualification,NIL,mmrda.maharashtra.gov.in,NIL,NIL,NIL,,,,,,,
147,Senior Section Engineer (S&T),MMRDA,Degree ,Rs 41800 - 132300,NIL,61,NIL,NIL,NIL,basics of Qualification,NIL,mmrda.maharashtra.gov.in,NIL,NIL,NIL,,,,,,,
148,Section Engineer (S&T),MMRDA,Degree ,Rs 41800 - 132300,NIL,61,NIL,NIL,NIL,basics of Qualification,NIL,mmrda.maharashtra.gov.in,NIL,NIL,NIL,,,,,,,
149,Supervisor (Customer Relation),MMRDA,Degree ,Rs 9300 - 34800,NIL,40,NIL,NIL,NIL,basics of Qualification,NIL,mmrda.maharashtra.gov.in,NIL,NIL,NIL,,,,,,,
150,Supervisor (Tech . oprs),IGM,Degree ,Rs 26000-100000,18,30,NIL,NIL,NIL,"Online examination ,trade test",NIL,igmkolkata.spmcil.com,NIL,NIL,NIL,,,,,,,
151,Engraver - III,IGM,Degree(BA),Rs 8500-20850,18,28,NIL,NIL,NIL,"Online examination ,trade test",NIL,igmkolkata.spmcil.com,NIL,NIL,NIL,,,,,,,
152,Junior Office Assistant,IGM,Degree,Rs 8350 - 20470,18,28,NIL,NIL,NIL,"Online examination ,trade test",NIL,igmkolkata.spmcil.com,NIL,NIL,NIL,,,,,,,
153,Junior Bullion Assistant ,IGM,Degree,Rs 8350 - 20471,18,28,NIL,NIL,NIL,"Online examination ,trade test",NIL,igmkolkata.spmcil.com,NIL,NIL,NIL,,,,,,,
154,Junior Technician,IGM,Degree,Rs 7750 - 19040,18,25,NIL,NIL,NIL,"Online examination ,trade test",NIL,igmkolkata.spmcil.com,NIL,NIL,NIL,,,,,,,
155,Junior Engineer (Trainee) civil,UPPCL,Diploma,Rs 44900 p m,18,40,NIL,NIL,Rs 1000,CBT,NIL,www.upenergy.in,NIL,NIL,NIL,,,,,,,
156,Driver Cum Pump Operator,NPCIL,HSC,Rs 21700,NIL,NIL,NIL,NIL,NIL,Written . skill  test,NIL,www.npcilcareers.co.in,NIL,NIL,NIL,,,,,,,
157,Scientific Assistant / C,NPCIL, Diploma,Rs 44900,NIL,NIL,NIL,NIL,NIL,Written . skill  test,NIL,www.npcilcareers.co.in,NIL,NIL,NIL,,,,,,,
158,Assistant Grade 1 (HR),NPCIL,Degree,Rs 25500,NIL,NIL,NIL,NIL,NIL,Written . skill  test,NIL,www.npcilcareers.co.in,NIL,NIL,NIL,,,,,,,
159,Assistant Grade 1 (F&A),NPCIL,Degree,Rs 25500,NIL,NIL,NIL,NIL,NIL,Written . skill  test,NIL,www.npcilcareers.co.in,NIL,NIL,NIL,,,,,,,
160,Assistant Grade 1 (C&MM),NPCIL,Degree,Rs 25500,NIL,NIL,NIL,NIL,NIL,Written . skill  test,NIL,www.npcilcareers.co.in,NIL,NIL,NIL,,,,,,,
161,Stenographer Grade 1,NPCIL,Degree,Rs 25500,NIL,NIL,NIL,NIL,NIL,Written . skill  test,NIL,www.npcilcareers.co.in,NIL,NIL,NIL,,,,,,,
162,Junior Commercial Assistant,CSL,Diploma,NIL,NIL,NIL,NIL,NIL,NIL,"Descriptive , Interview",NIL,cochinshipyard.com,NIL,NIL,NIL,,,,,,,
163,Storekeeper,CSL,Diploma,NIL,NIL,NIL,NIL,NIL,NIL,"Descriptive , Interview",NIL,cochinshipyard.com,NIL,NIL,NIL,,,,,,,
164,Accountant,CSL,PG,Rs 28000 - 110000,NIL,45,NIL,NIL,NIL,"Descriptive , Interview",NIL,cochinshipyard.com,NIL,NIL,NIL,,,,,,,
165,Assistant General Manager(Mechnical),CSL,Degree,Rs 50000 - 160000,NIL,55,NIL,NIL,NIL,"Descriptive , Interview",NIL,cochinshipyard.com,NIL,NIL,NIL,,,,,,,
166,Deputy Manager (Safety),CSL,Degree,Rs 50000 - 160000,NIL,45,NIL,NIL,NIL,"Descriptive , Interview",NIL,cochinshipyard.com,NIL,NIL,NIL,,,,,,,
167,Deputy Manager(Weapons),CSL,Degree,Rs 50000 - 160000,NIL,45,NIL,NIL,NIL,"Descriptive , Interview",NIL,cochinshipyard.com,NIL,NIL,NIL,,,,,,,
168,Senior Ship Draftman(mechnical),CSL, Diploma,Rs 23500 - 77000,NIL,35,NIL,NIL,NIL,"Phase I ,II",NIL,cochinshipyard.com,NIL,NIL,NIL,,,,,,,
169,Senior Ship Draftman(Electrical),CSL, Diploma,Rs 23500 - 77001,NIL,35,NIL,NIL,NIL,"Phase I ,II",NIL,cochinshipyard.com,NIL,NIL,NIL,,,,,,,
170,Senior Ship Draftman(electronics),CSL, Diploma,Rs 23500 - 77002,NIL,35,NIL,NIL,NIL,"Phase I ,II",NIL,cochinshipyard.com,NIL,NIL,NIL,,,,,,,
171,Junior Technical Assistant (safety),CSL,Diploma,Rs 23500 - 77003,NIL,35,NIL,NIL,NIL,"Phase I ,II",NIL,cochinshipyard.com,NIL,NIL,NIL,,,,,,,
172,Engineering gradute Apprentices,HAL,Degree,Rs 9000 p m,NIL,NIL,NIL,NIL,NIL,"DV , Based on marks",NIL,www.mhrdnats.gov.in,NIL,NIL,NIL,,,,,,,
173,Technician Diploma Apprentices,HAL,Degree,Rs 8000 p m ,NIL,NIL,NIL,NIL,NIL,"DV , Based on marks",NIL,www.mhrdnats.gov.in,NIL,NIL,NIL,,,,,,,
174,Junior secretariat assistance (General),CSMCRI,SSLC ,NIL,NIL,28,NIL,NIL,Rs 100,"OMR , Written",NIL,www.csmcri.res.in,NIL,NIL,NIL,,,,,,,
175,Junior secretariat assistance (Finance &accounts),CSMCRI,SSLC ,NIL,NIL,28,NIL,NIL,Rs 100,"OMR , Written",NIL,www.csmcri.res.in,NIL,NIL,NIL,,,,,,,
176,Junior secretariat assistance (stores & purchase),CSMCRI,SSLC ,NIL,NIL,28,NIL,NIL,Rs 100,"OMR , Written",NIL,www.csmcri.res.in,NIL,NIL,NIL,,,,,,,
177,Assistant (Electrician),MIDHANI,SSLC,Rs 23680,NIL,30,NIL,NIL,NIL,"Written test , trade test",NIL,midhani-india.in,NIL,NIL,NIL,,,,,,,
178,Assistant(instrumentation),MIDHANI,SSLC,Rs 23680,NIL,30,NIL,NIL,NIL,"Written test , trade test",NIL,midhani-india.in,NIL,NIL,NIL,,,,,,,
179,Assistant (turners),MIDHANI,SSLC,Rs 23680,NIL,30,NIL,NIL,NIL,"Written test , trade test",NIL,midhani-india.in,NIL,NIL,NIL,,,,,,,
180,Junior Technician,MIDHANI,Diploma,Rs 25930,NIL,35,NIL,NIL,NIL,"Written test , trade test",NIL,midhani-india.in,NIL,NIL,NIL,,,,,,,
181,Operator Fluidised bed reactor for CNT,MIDHANI,Diploma,Rs 25930,NIL,35,NIL,NIL,NIL,"Written test , trade test",NIL,midhani-india.in,NIL,NIL,NIL,,,,,,,
182,Operator - CNC Fibre Cutting Machine,MIDHANI,Diploma,Rs 25930,NIL,35,NIL,NIL,NIL,"Written test , trade test",NIL,midhani-india.in,NIL,NIL,NIL,,,,,,,
183,Operator - Hydraulic Press for Ballistic panel moulding,MIDHANI,SSLC + ITI,Rs 25930,NIL,35,NIL,NIL,NIL,"Written test , trade test",NIL,midhani-india.in,NIL,NIL,NIL,,,,,,,
184,Operator - Autoclave,MIDHANI,SSLC,Rs 25930,NIL,35,NIL,NIL,NIL,"Written test , trade test",NIL,midhani-india.in,NIL,NIL,NIL,,,,,,,
185,Junior Artisan - welder,MIDHANI,SSLC,Rs 25930,NIL,35,NIL,NIL,NIL,"Written test , trade test",NIL,midhani-india.in,NIL,NIL,NIL,,,,,,,
186,Junior staff Nurse,MIDHANI,Degree(B.sc),Rs 25930,NIL,35,NIL,NIL,NIL,"Written test , trade test",NIL,midhani-india.in,NIL,NIL,NIL,,,,,,,
187,Cinema projectionist,MHOW,SSLC,Rs 29200 - 92300,18,25,NIL,NIL,NIL,Written . skill  test ,yes,indianarmy.nic.in,NIL,NIL,NIL,,,,,,,
188,Stenographer grade 2,MHOW,SSLC,Rs 25500- 81100,18,25,NIL,NIL,NIL,Written . skill  test ,yes,indianarmy.nic.in,NIL,NIL,NIL,,,,,,,
189,lower division clerk,MHOW,SSLC,Rs 19900 - 63200,18,25,NIL,NIL,NIL,Written . skill  test ,yes,indianarmy.nic.in,NIL,NIL,NIL,,,,,,,
190,civilian motor driver,MHOW,SSLC,Rs 19900 - 63200,18,27,NIL,NIL,NIL,Written . skill  test ,yes,indianarmy.nic.in,NIL,NIL,NIL,,,,,,,
191,electrician,MHOW,SSLC,Rs 19900 - 63200,18,27,NIL,NIL,NIL,Written . skill  test ,yes,indianarmy.nic.in,NIL,NIL,NIL,,,,,,,
192,cook,MHOW,SSLC,Rs 19900 - 63200,18,27,NIL,NIL,NIL,Written . skill  test ,yes,indianarmy.nic.in,NIL,NIL,NIL,,,,,,,
193,Poster maker,MHOW,SSLC,RS 18000 - 56900,18,27,NIL,NIL,NIL,Written . skill  test ,yes,indianarmy.nic.in,NIL,NIL,NIL,,,,,,,
194,MTS(Watchman),MHOW,SSLC,RS 18000 - 56900,18,27,NIL,NIL,NIL,Written . skill  test ,yes,indianarmy.nic.in,NIL,NIL,NIL,,,,,,,
195,MTS(Safaiwala),MHOW,SSLC,RS 18000 - 56900,18,27,NIL,NIL,NIL,Written . skill  test ,yes,indianarmy.nic.in,NIL,NIL,NIL,,,,,,,
196,MTS(Gardner),MHOW,SSLC,RS 18000 - 56900,18,27,NIL,NIL,NIL,Written . skill  test ,yes,indianarmy.nic.in,NIL,NIL,NIL,,,,,,,
197,Fatigue man,MHOW,SSLC,RS 18000 - 56900,18,27,NIL,NIL,NIL,Written . skill  test ,yes,indianarmy.nic.in,NIL,NIL,NIL,,,,,,,
198,Cycle fitter,MHOW,SSLC,RS 18000 - 56900,18,27,NIL,NIL,NIL,Written . skill  test ,yes,indianarmy.nic.in,NIL,NIL,NIL,,,,,,,
199,Tradesman Mate ,INCET,SSLC/ITI,NIL,18,25,NIL,NIL,205,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
200,NDA ,UPSC,Degree,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
201,Assistant Coach,SAI,Diploma,"35,000-78,000",NIL,56,NIL,NIL,NIL,interview,NIL,NIL,NIL,NIL,NIL,,,,,,,
202,Executive (SSC),INDIAN NAVY,Degree,NIL,19,24,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,
469,,,,,,,,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,,,,,,,,
483,,,,,,,,,,,,,,,,,,,,,,
484,,,,,,,,,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,,,,,,,,
486,,,,,,,,,,,,,,,,,,,,,,
487,,,,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,,,,,,,,,
490,,,,,,,,,,,,,,,,,,,,,,
491,,,,,,,,,,,,,,,,,,,,,,
492,,,,,,,,,,,,,,,,,,,,,,
493,,,,,,,,,,,,,,,,,,,,,,
494,,,,,,,,,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,,,,,,,,
497,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,,,,,,,,
501,,,,,,,,,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,,,,,,,,,
503,,,,,,,,,,,,,,,,,,,,,,
504,,,,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,,,,,,,
508,,,,,,,,,,,,,,,,,,,,,,
509,,,,,,,,,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,
516,,,,,,,,,,,,,,,,,,,,,,
517,,,,,,,,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,,,,,,,,
526,,,,,,,,,,,,,,,,,,,,,,
